Date,Forecast,Lower Bound,Upper Bound
2025-06-19,195.96695,189.1185,202.81538
2025-06-20,195.32014,188.4943,202.14598
2025-06-23,194.69397,187.89,201.49792
2025-06-24,194.0846,187.30193,200.86725
2025-06-25,193.48932,186.72745,200.25117
2025-06-26,192.90636,186.16486,199.64784
2025-06-27,192.33461,185.6131,199.0561
2025-06-30,191.77332,185.07141,198.4752
2025-07-01,191.22209,184.53946,197.90471
2025-07-02,190.68068,184.01697,197.34438
2025-07-03,190.14896,183.50383,196.79408
2025-07-04,189.62679,182.99991,196.25366
2025-07-07,189.11414,182.50517,195.7231
2025-07-08,188.6108,182.01941,195.20216
2025-07-09,188.11673,181.54262,194.69083
2025-07-10,187.63171,181.07455,194.18886
2025-07-11,187.1556,180.61507,193.6961
2025-07-14,186.6882,180.16402,193.21237
2025-07-15,186.22931,179.72116,192.73744
2025-07-16,185.77875,179.28635,192.27115
2025-07-17,185.3363,178.85936,191.81323
2025-07-18,184.90172,178.43996,191.36346
2025-07-21,184.4748,178.02795,190.92162
2025-07-22,184.05536,177.62318,190.48753
2025-07-23,183.64314,177.22537,190.0609
2025-07-24,183.238,176.8344,189.64162
2025-07-25,182.8397,176.45001,189.22939
2025-07-28,182.44807,176.07207,188.82407
2025-07-29,182.0629,175.70035,188.42543
2025-07-30,181.68402,175.33472,188.03333
